2024-05-30 21:45:22,581.bbq_producer.INFO ==================================================
2024-05-30 21:45:22,581.bbq_producer.INFO Today is 2024-05-30 at 09:45 PM
2024-05-30 21:45:22,581.bbq_producer.INFO Running on: posix Darwin 23.5.0
2024-05-30 21:45:22,581.bbq_producer.INFO Python version:  3.12.3
2024-05-30 21:45:22,581.bbq_producer.INFO Python path: /Library/Frameworks/Python.framework/Versions/3.12
2024-05-30 21:45:22,581.bbq_producer.INFO Working dir: /Users/levilowther/ds-venv/streaming-05-smart-smoker
2024-05-30 21:45:22,581.bbq_producer.INFO ==================================================
2024-05-30 21:45:24,575.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:20:15', 84.2)
2024-05-30 21:45:24,575.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:20:20', 84.2)
2024-05-30 21:45:24,576.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:21:10', 87.6)
2024-05-30 21:45:24,576.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:21:15', 87.6)
2024-05-30 21:45:24,576.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:22:10', 86.3)
2024-05-30 21:45:24,576.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:22:15', 86.3)
2024-05-30 21:45:24,576.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:23:10', 92.0)
2024-05-30 21:45:24,576.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:23:15', 92.0)
2024-05-30 21:45:24,576.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:24:10', 96.8)
2024-05-30 21:45:24,576.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:24:15', 96.8)
2024-05-30 21:45:24,577.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:25:05', 100.6)
2024-05-30 21:45:24,577.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:25:10', 100.9)
2024-05-30 21:45:24,577.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:25:15', 100.9)
2024-05-30 21:45:24,577.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:26:10', 104.8)
2024-05-30 21:45:24,577.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:26:15', 104.8)
2024-05-30 21:45:24,577.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:27:10', 108.2)
2024-05-30 21:45:24,577.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:27:15', 108.2)
2024-05-30 21:45:24,577.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:28:10', 111.4)
2024-05-30 21:45:24,577.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:28:15', 111.4)
2024-05-30 21:45:24,578.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:29:10', 114.2)
2024-05-30 21:45:24,578.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:29:15', 114.2)
2024-05-30 21:45:24,578.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:30:10', 116.9)
2024-05-30 21:45:24,578.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:30:15', 116.9)
2024-05-30 21:45:24,578.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:31:10', 119.4)
2024-05-30 21:45:24,578.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:31:15', 119.4)
2024-05-30 21:45:24,578.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:32:10', 120.1)
2024-05-30 21:45:24,578.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:32:15', 120.1)
2024-05-30 21:45:24,578.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:33:10', 106.2)
2024-05-30 21:45:24,578.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:33:15', 106.2)
2024-05-30 21:45:24,579.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:34:10', 103.5)
2024-05-30 21:45:24,579.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:34:15', 103.5)
2024-05-30 21:45:24,579.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:35:10', 105.3)
2024-05-30 21:45:24,579.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:35:15', 105.3)
2024-05-30 21:45:24,579.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:36:10', 106.9)
2024-05-30 21:45:24,579.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:36:15', 106.9)
2024-05-30 21:45:24,579.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:37:10', 111.9)
2024-05-30 21:45:24,579.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:37:15', 111.9)
2024-05-30 21:45:24,579.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:38:10', 114.2)
2024-05-30 21:45:24,579.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:38:15', 114.2)
2024-05-30 21:45:24,580.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:39:10', 115.5)
2024-05-30 21:45:24,580.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:39:15', 115.5)
2024-05-30 21:45:24,580.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:40:10', 112.6)
2024-05-30 21:45:24,580.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:40:15', 112.6)
2024-05-30 21:45:24,580.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:41:10', 118.8)
2024-05-30 21:45:24,580.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:41:15', 118.8)
2024-05-30 21:45:24,580.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:42:10', 113.2)
2024-05-30 21:45:24,580.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:42:15', 113.2)
2024-05-30 21:45:24,581.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:43:10', 126.7)
2024-05-30 21:45:24,581.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:43:15', 126.7)
2024-05-30 21:45:24,581.bbq_producer.INFO Sent message to 01-smoker: ('05/22/21 12:44:10', 130.0)
